ID;Name;Date;Genus;Species;Algal Group;Unit;Cells/Unit;Cell Biovolume (µm3);Species Units/mL;Species Cells/mL;Species Biovolume (µm3/mL)
24-001;GRAW;04/17/24;Aulacoseira;granulata;Bacillariophyta;filament;5;10,053.1;7;37;371,965
24-001;GRAW;04/17/24;Acanthoceras;zachariasii;Bacillariophyta;cell;1;4,188.8;30;30;124,985
24-001;GRAW;04/17/24;Ulnaria;ulna;Bacillariophyta;cell;1;2,412.7;16;16;38,603
24-001;GRAW;04/17/24;Navicula;cf. cryptocephala;Bacillariophyta;cell;1;443.3;60;60;26,454
24-001;GRAW;04/17/24;Fragilaria;sp.;Bacillariophyta;cell;1;64.3;119;119;7,674
24-001;GRAW;04/17/24;Actinocyclus;normanii;Bacillariophyta;cell;1;6,434.0;1;1;6,434
24-001;GRAW;04/17/24;Aulacoseira;granulata v. angustissima;Bacillariophyta;filament;4;772.1;2;8;6,177
24-001;GRAW;04/17/24;centric diatom;sp.;Bacillariophyta;cell;1;25.3;209;209;5,284
24-001;GRAW;04/17/24;Enyconema;minutum;Bacillariophyta;cell;1;171.6;30;30;5,120
24-001;GRAW;04/17/24;Cocconeis;placentula;Bacillariophyta;cell;1;2,513.3;2;2;5,027
24-001;GRAW;04/17/24;Fragilaria;cf. crotonensis;Bacillariophyta;cell;1;470.5;10;10;4,705
24-001;GRAW;04/17/24;Navicula;sp.;Bacillariophyta;cell;1;923.6;4;4;3,694
24-001;GRAW;04/17/24;pennate diatom;sp.;Bacillariophyta;cell;1;67.6;30;30;2,017
24-001;GRAW;04/17/24;pennate diatom;sp.;Bacillariophyta;cell;1;23.0;60;60;1,373
24-001;GRAW;04/17/24;Nitzschia;acicularis;Bacillariophyta;cell;1;143.7;7;7;1,006
24-001;GRAW;04/17/24;Stephanocyclus;meneghiniana;Bacillariophyta;cell;1;844.5;1;1;845
24-001;GRAW;04/17/24;Achnanthidium;sp.;Bacillariophyta;cell;1;9.9;60;60;591
24-001;GRAW;04/17/24;Urosolenia;eriensis;Bacillariophyta;cell;1;13.1;30;30;391
24-001;GRAW;04/17/24;Mougeotia;sp.;Charophyta;filament;2;643.4;1;2;1,287
24-001;GRAW;04/17/24;Staurastrum;tetracerum;Charophyta;cell;1;183.9;1;1;184
24-001;GRAW;04/17/24;Koliella;longiseta;Chlorophyta;cell;1;69.3;60;60;4,136
24-001;GRAW;04/17/24;chlorophyte unicell;sp.;Chlorophyta;cell;1;11.5;358;358;4,118
24-001;GRAW;04/17/24;Tetraedron;minimum;Chlorophyta;cell;1;87.4;30;30;2,608
24-001;GRAW;04/17/24;Monoraphidium;sp.;Chlorophyta;cell;1;9.7;60;60;579
24-001;GRAW;04/17/24;Ankistrodesmus;fusiformis;Chlorophyta;cell;1;30.8;1;1;31
24-001;GRAW;04/17/24;Pseudanabaena;limnetica;Cyanobacteria;filament;25;8.6;38;943;8,110
24-001;GRAW;04/17/24;cyanophyte unicell;sp.;Cyanobacteria;cell;1;92.0;30;30;2,745
24-001;GRAW;04/17/24;Planktolyngbya;sp.;Cyanobacteria;filament;32;2.3;30;955;2,196
24-001;GRAW;04/17/24;Cyanogranis;ferruginea;Cyanobacteria;colony;8;0.9;239;1,910;1,719
24-001;GRAW;04/17/24;oscillatorialean filament;sp.;Cyanobacteria;filament;3;3.7;149;448;1,656
24-001;GRAW;04/17/24;Raphidiopsis;raciborskii;Cyanobacteria;filament;36;17.6;1;36;634
24-001;GRAW;04/17/24;Synechococcus;sp.;Cyanobacteria;cell;1;8.8;60;60;525
24-001;GRAW;04/17/24;Ceratium;furcoides;Dinophyceae;cell;1;50,265.5;1;1;50,266
24-002;PRAW;04/17/24;Aulacoseira;granulata;Bacillariophyta;filament;5;10,053.1;19;93;934,938
24-002;PRAW;04/17/24;Actinocyclus;normanii;Bacillariophyta;cell;1;12,566.4;16;16;201,062
24-002;PRAW;04/17/24;Actinocyclus;normanii;Bacillariophyta;cell;1;4,310.3;13;13;56,034
24-002;PRAW;04/17/24;Aulacoseira;granulata v. angustissima;Bacillariophyta;filament;6;1,773.4;4;26;46,108
24-002;PRAW;04/17/24;Nitzschia;closterium;Bacillariophyta;cell;1;171.6;179;179;30,721
24-002;PRAW;04/17/24;Fragilaria;crotonensis;Bacillariophyta;cell;1;422.2;60;60;25,195
24-002;PRAW;04/17/24;Actinocyclus;normanii;Bacillariophyta;cell;1;1,221.5;13;13;15,880
24-002;PRAW;04/17/24;centric diatom;sp.;Bacillariophyta;cell;1;39.4;298;298;11,756
24-002;PRAW;04/17/24;Chaetoceros;sp.;Bacillariophyta;cell;1;77.6;119;119;9,262
24-002;PRAW;04/17/24;Fragilaria;sp.;Bacillariophyta;cell;1;628.3;9;9;5,655
24-002;PRAW;04/17/24;Ulnaria;ulna;Bacillariophyta;cell;1;1,231.5;1;1;1,232
24-002;PRAW;04/17/24;Nitzschia;sp.;Bacillariophyta;cell;1;857.9;1;1;858
24-002;PRAW;04/17/24;Aulacoseira;granulata v. curvata;Bacillariophyta;filament;4;147.8;1;4;591
24-002;PRAW;04/17/24;Synedra;nana;Bacillariophyta;cell;1;58.6;3;3;176
24-002;PRAW;04/17/24;Closterium;aciculare;Charophyta;cell;1;670.2;61;61;40,882
24-002;PRAW;04/17/24;Staurastrum;tetracerum;Charophyta;cell;1;205.8;30;30;6,141
24-002;PRAW;04/17/24;Mougeotia;sp.;Charophyta;filament;2;754.0;1;2;1,508
24-002;PRAW;04/17/24;Closterium;acutum;Charophyta;cell;1;201.1;4;4;804
24-002;PRAW;04/17/24;Staurastrum;cf. micron;Charophyta;cell;1;698.1;1;1;698
24-002;PRAW;04/17/24;Staurastrum;tectum v. ayayensis;Charophyta;cell;1;698.1;1;1;698
24-002;PRAW;04/17/24;Cosmarium;cf. abbreviatum;Charophyta;cell;1;210.2;2;2;420
24-002;PRAW;04/17/24;Koliella;longiseta;Chlorophyta;cell;1;50.9;149;149;7,594
24-002;PRAW;04/17/24;Oocystis;sp.;Chlorophyta;cell;1;34.3;209;209;7,164
24-002;PRAW;04/17/24;Didymocystis;sp.;Chlorophyta;colony;2;37.5;90;179;6,714
24-002;PRAW;04/17/24;Siderocelis;ornata;Chlorophyta;cell;1;137.3;30;30;4,097
24-002;PRAW;04/17/24;chlorophyte unicell;sp.;Chlorophyta;cell;1;2.1;1,790;1,790;3,760
24-002;PRAW;04/17/24;Koliella;sp.;Chlorophyta;cell;1;18.5;90;90;1,656
24-002;PRAW;04/17/24;Crucigenia;quadrata;Chlorophyta;colony;4;7.3;30;119;871
24-002;PRAW;04/17/24;Monoraphidum;irregulare;Chlorophyta;cell;1;6.3;119;119;752
24-002;PRAW;04/17/24;Scenedesmus;sp.;Chlorophyta;colony;4;4.3;30;119;513
24-002;PRAW;04/17/24;chrysophyte flagellate;sp.;Chrysophyceae;cell;1;38.8;90;90;3,473
24-002;PRAW;04/17/24;Raphidiopsis;raciborskii;Cyanobacteria;filament;9;29.6;169;1,522;45,043
24-002;PRAW;04/17/24;Planktolyngbya;sp.;Cyanobacteria;filament;34;2.3;394;13,397;30,814
24-002;PRAW;04/17/24;Synechococcus;sp.;Cyanobacteria;cell;1;2.3;8,056;8,056;18,529
24-002;PRAW;04/17/24;cf. Aphanizomenon;sp.;Cyanobacteria;filament;17;38.6;17;293;11,310
24-002;PRAW;04/17/24;Pseudanabaena;limnetica;Cyanobacteria;filament;3;9.9;269;806;7,976
24-002;PRAW;04/17/24;Chroococcus;sp.;Cyanobacteria;colony;32;4.2;30;955;4,010
24-002;PRAW;04/17/24;Aphanocapsa;sp.;Cyanobacteria;colony;24;0.9;119;2,864;2,578
24-002;PRAW;04/17/24;Cyanogranis;ferruginea;Cyanobacteria;colony;8;0.9;328;2,626;2,363
24-002;PRAW;04/17/24;Gloeocapsa;sp.;Cyanobacteria;colony;6;180.2;1;8;1,442
24-002;PRAW;04/17/24;cyanophyte unicell;sp.;Cyanobacteria;cell;1;17.2;30;30;513
24-003;B1;04/17/24;Pseudanabaena;limnetica;Cyanobacteria;filament;2;14.8;30;60;883
24-004;MFPFILTRO-E9;04/17/24;Actinocyclus;normanii;Bacillariophyta;cell;1;6,434.0;2;2;12,868
24-004;MFPFILTRO-E9;04/17/24;Nitzschia;closterium;Bacillariophyta;cell;1;143.7;1;1;144
24-004;MFPFILTRO-E9;04/17/24;Botryococcus;braunii;Chlorophyta;colony;1;4,825.5;1;1;4,826
24-004;MFPFILTRO-E9;04/17/24;Pseudanabaena;limnetica;Cyanobacteria;filament;5;9.9;5;27;267
24-005;MFPFILTRO-W9;04/17/24;Actinocyclus;normanii;Bacillariophyta;cell;1;5,301.4;2;2;10,603
24-005;MFPFILTRO-W9;04/17/24;Fragilaria;crotonensis;Bacillariophyta;cell;1;434.3;1;1;434
24-005;MFPFILTRO-W9;04/17/24;Nitzschia;closterium;Bacillariophyta;cell;1;143.7;2;2;287
24-005;MFPFILTRO-W9;04/17/24;chlorophyte unicell;sp.;Chlorophyta;cell;1;1.6;4,177;4,177;6,684
24-005;MFPFILTRO-W9;04/17/24;chlorophyte unicell;sp.;Chlorophyta;cell;1;57.9;30;30;1,728
24-005;MFPFILTRO-W9;04/17/24;Koliella;longiseta;Chlorophyta;cell;1;39.6;3;3;119
24-005;MFPFILTRO-W9;04/17/24;Pseudanabaena;limnetica;Cyanobacteria;filament;8;9.9;28;222;2,198
24-005;MFPFILTRO-W9;04/17/24;Raphidiopsis;raciborskii;Cyanobacteria;filament;10;39.4;3;31;1,221
24-006;CR-LAB;04/17/24;Cyclotella;sp.;Bacillariophyta;cell;1;39.4;239;239;9,405
24-006;CR-LAB;04/17/24;Navicula;sp.;Bacillariophyta;cell;1;364.6;1;1;365
24-006;CR-LAB;04/17/24;Fragilaria;sp.;Bacillariophyta;cell;1;160.8;2;2;322
24-006;CR-LAB;04/17/24;Nitzschia;sp.;Bacillariophyta;cell;1;31.4;1;1;31
24-006;CR-LAB;04/17/24;Mougeotia;sp.;Charophyta;filament;2;643.4;7;14;9,008
24-006;CR-LAB;04/17/24;Closterium;acutum;Charophyta;cell;1;184.7;12;12;2,216
24-006;CR-LAB;04/17/24;Teilingia;granulatum;Charophyta;cell;1;45.8;30;30;1,367
24-006;CR-LAB;04/17/24;Staurastrum;brachiatum;Charophyta;cell;1;563.0;2;2;1,126
